target_id,total_pop_chg,total_pop_chg_adj,units_chg,units_chg_adj,rgid,county_id,ofm_total_pop,ofm_hhpop,ofm_units,ofm_hh,ofm_gq,ofm_vacancy_by_rgid,ofm_gq_pct,gq_2044,total_pop_2044,hhpop_2044,units_2044,hh_2044,hhsz_2044,king_hhsz,vacancy_rate,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,emp_chg,emp_chg_adj,control_id_2023,control_name_2023,Emp_TotNoMil_2023,Emp_ConRes_2023,Emp_Military_2023,Emp_Total_2023,TotEmpNoMil-ResCon_2023,emp_2044,res_con_pct,res_con_target_pct,emp_chg_cnty_sum,res_con_emp_chg_cnty_sum,res_con_emp_chg_target,emp_chg_adj_res_con,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
29,,,2900.0,1791.0,4,53033,6689.829988718033,6689.829988718033,2682.89997535944,2467.3055132627487,0.0,,0.0,0,11002.0,11002.0,4473.89997535944,4340.0,2.5410677773050785,2.75,3.0,11028.0,222588.0,222071.0,0.9976773231261343,680,532,29,Black Diamond,735,177,0,735,558,1340,0.24081632653061225,163.75510204081633,490831.0,13743.268,72.67986535539009,604.6798653553901,89.17592793986911,4875,205.3414291086651,12234,28.80952380952381,1513,0,12234,2.5095384615384617
30,,,350.0,279.0,4,53033,2442.1596623659134,2442.1596623659134,939.7213273167611,874.4852821588516,0.0,,0.0,0,3087.0,3087.0,1218.721327316761,1182.0,2.6172526383795836,2.75,3.0,3094.0,222588.0,222071.0,0.9976773231261343,450,450,232,CarnationCarnation UGA,689,86,0,689,603,1164,0.12481857764876633,56.16835994194485,490831.0,13743.268,24.929353570895845,474.92935357089584,14.643557992435635,1270,30.706682744480315,3271,22.61904761904762,1300,0,3271,2.5755905511811026
31,,,10.0,10.0,4,53033,3070.4721096362387,3070.4721096362387,1083.7195273032123,985.6737606675537,0.0,,0.0,0,3091.0,3091.0,1093.7195273032123,1061.0,2.919416502328761,2.75,3.0,3098.0,222588.0,222071.0,0.9976773231261343,10,0,31,Clyde Hill,1146,8,0,1146,1138,1146,0.006980802792321117,0.06980802792321117,490831.0,13743.268,0.030983083928094554,0.030983083928094554,3.58696377773554,1083,0.9775185887505402,3097,0.0,1146,0,3097,2.8596491228070176
32,,,4310.0,3843.0,4,53033,21357.561833650507,21295.561833650507,7404.217907120573,7171.620857967976,61.99999999999999,,0.0009794673633578461,98,30388.0,30290.0,11247.217907120572,10910.0,2.7828889604006712,2.75,3.0,30361.0,222588.0,222071.0,0.9976773231261343,4496,4322,235,CovingtonCovington PAA,6347,771,0,6347,5576,10911,0.12147471246258075,546.150307231763,490831.0,13743.268,242.39935305048155,4564.399353050481,178.01805438247735,11978,430.02086506426156,32968,217.33333333333334,12215,100,32868,2.7440307229921523
33,,,890.0,521.0,4,53033,8718.965270655495,8718.965270655495,3059.8211237107007,2940.0438703724317,0.0,,0.0,0,9631.0,9631.0,3580.8211237107007,3473.0,2.7792987630754467,2.75,3.0,9653.0,222588.0,222071.0,0.9976773231261343,990,778,237,DuvallDuvall UGA,1805,182,0,1805,1623,2627,0.10083102493074793,99.82271468144044,490831.0,13743.268,44.304582709418504,822.3045827094185,25.37886331559849,3625,43.430225206881175,9892,39.142857142857146,2862,0,9892,2.7288275862068967
34,,,1057.0,549.0,4,53033,13703.05430773894,13642.05430773894,5842.454003751278,5512.63550694217,61.0,,0.0009636695026585261,97,14443.0,14346.0,6391.454003751278,6200.0,2.3192341285657037,2.75,3.0,14379.0,222588.0,222071.0,0.9976773231261343,989,930,239,EnumclawEnumclaw UGA,6015,846,0,6015,5169,7007,0.14064837905236907,139.10124688279302,490831.0,13743.268,61.73767881557893,991.7376788155789,32.73164252656335,6396,35.235509155288604,14654,47.23809523809524,7290,99,14555,2.2756410256410255
35,,,1.0,1.0,4,53033,455.72789953969016,455.72789953969016,184.26469412610572,171.91425863628737,0.0,,0.0,0,446.0,446.0,185.26469412610572,180.0,2.484378803717949,2.75,3.0,447.0,222588.0,222071.0,0.9976773231261343,0,0,35,Hunts Point,144,1,0,144,143,144,0.006944444444444444,0.0,490831.0,13743.268,0.0,0.0,0.3850353030339347,182,0.0,456,0.0,144,0,456,2.5054945054945055
36,,,1720.0,1043.0,4,53033,29250.288902411812,29250.288902411812,9948.011436336092,9637.162775222352,0.0,,0.0,0,30255.0,30255.0,10991.011436336092,10661.0,2.8444942663728896,2.75,3.0,30325.0,222588.0,222071.0,0.9976773231261343,1570,591,36,Maple Valley,6189,772,0,6189,5417,6867,0.12473743738891582,195.83777670059783,490831.0,13743.268,86.91920474362185,677.9192047436219,48.75415356084037,10954,47.84338559943752,30542,32.285714285714285,7061,0,30542,2.788205221836772
37,,,19.0,2.0,4,53033,2926.9214191436768,2926.9214191436768,1140.7873938083649,1005.2919965744019,0.0,,0.0,0,3019.0,3019.0,1142.7873938083649,1109.0,2.7286192268898493,2.75,3.0,3026.0,222588.0,222071.0,0.9976773231261343,0,0,37,Medina,944,58,0,944,886,944,0.0614406779661017,0.0,490831.0,13743.268,0.0,0.0,4.938476353599911,1139,4.384694326491583,3045,0.0,944,0,3045,2.6733977172958734
38,,,50.0,50.0,4,53033,1483.8529571277995,1360.8529571277995,598.0538186724757,579.3689081534533,123.0,,0.0019431368660163724,195,1577.0,1382.0,648.0538186724757,629.0,2.2013044599958844,2.75,3.0,1385.0,222588.0,222071.0,0.9976773231261343,900,874,38,Milton,131,10,0,131,121,1035,0.07633587786259542,68.70229007633588,490831.0,13743.268,30.49232133915718,904.4923213391572,2.3633853260260347,643,4.435573470104784,1604,43.04761904761905,1293,199,1405,2.1850699844479005
39,,,153.0,114.0,4,53033,6834.456219309585,6735.456219309585,2844.4535139663944,2687.1884130976405,99.0,,0.0015639882092326899,157,6883.0,6726.0,2958.4535139663944,2870.0,2.349053979019577,2.75,3.0,6742.0,222588.0,222071.0,0.9976773231261343,35,28,39,Normandy Park,1083,90,0,1083,993,1112,0.08310249307479224,2.9085872576177283,490831.0,13743.268,1.290926069621751,29.29092606962175,8.70531366201712,2922,2.311608604305461,6897,1.380952380952381,1120,160,6737,2.305612594113621
