target_id,total_pop_chg,total_pop_chg_adj,county_id,rgid,dec_total_pop,dec_units,dec_hh,dec_gq,dec_hhpop,dec_hhpop_by_target,dec_hh_by_target,dec_hhsz_by_target,dec_hhsz,total_pop_2044,dec_gq_pct,gq_2044,hhpop_2044,hhsz_2044,hh_2044,units_chg,units_chg_adj,king_hhsz,vacancy_rate,units_2044,dec_hhsz_by_rgid,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,start,emp_chg,emp_chg_adj,control_id_2020,control_name_2020,Emp_TotNoMil_2020,Emp_ConRes_2020,TotEmpNoMil-ResCon_2020,Emp_Military_2020,Emp_Total_2020,emp_2044,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
24,,,53033,3,17314,6614,6311,71,17243,17243,6311,2.7322135953097764,2.7322135953097764,18176,0.0008335094268742222,84,18092,2.6296230912676486,6907,670.0,551.0,2.51,3.6,7165.0,2.6079236020556875,18163.0,329756.0,328466.0,0.9960880165940877,2019,600.0,754.041871302853,24,Renton PAA - West Hill,1500,124,1376,0,1500,2254.041871302853,24.833333333333332,7056,35.916666666666664,18392,31.41841130428554,2443,85,18477,2.618622448979592
25,,,53033,3,58576,24042,23139,1775,56801,56801,23139,2.4547733264186005,2.4547733264186005,86872,0.020837735671855557,2088,84784,2.362600286470784,36027,13330.0,13330.0,2.51,3.6,37372.0,2.6079236020556875,85117.0,329756.0,328466.0,0.9960880165940877,2019,10000.0,10113.437125043329,25,Shoreline,19689,1399,18290,0,19689,29802.43712504333,537.0,39249,1179.0,93946,421.39321354347203,32331,2137,96083,2.4480368926596854
26,,,53033,3,13069,5895,5468,43,13026,13026,5468,2.3822238478419897,2.3822238478419897,16526,0.0005048014838815712,51,16475,2.292774931508793,7214,2033.0,1588.0,2.51,3.6,7483.0,2.6079236020556875,16540.0,329756.0,328466.0,0.9960880165940877,2019,5000.0,4692.187397531541,26,Woodinville,15827,2404,13423,0,15827,20519.18739753154,72.75,7650,144.04166666666666,17390,195.5078082304808,21692,52,17442,2.28
27,,,53033,4,3290,1048,1013,14,3276,3276,1013,3.23395853899309,3.23395853899309,3577,0.00016435397149632553,16,3561,3.033142858500377,1181,170.0,170.0,2.75,3.0,1218.0,2.932069604735992,3582.0,227801.0,226441.0,0.9940298769540081,2019,325.0,480.7400142599687,27,Algona,2327,80,2247,0,2327,2807.7400142599686,7.0,1223,11.958333333333334,3649,20.03083392749869,2928,17,3666,2.9975470155355683
28,,,53033,4,317,118,106,0,317,317,106,2.990566037735849,2.990566037735849,321,0.0,0,321,2.804864042275726,115,1.0,1.0,2.75,3.0,119.0,2.932069604735992,323.0,227801.0,226441.0,0.9940298769540081,2019,0.0,6.0,28,Beaux Arts,17,0,17,0,17,23.0,0.375,117,0.16666666666666666,322,0.25,24,0,322,2.752136752136752
29,,,53033,4,4697,1841,1729,0,4697,4697,1729,2.716599190283401,2.716599190283401,11567,0.0,0,11567,2.5479094224818106,4567,2900.0,2867.0,2.75,3.0,4708.0,2.932069604735992,11636.0,227801.0,226441.0,0.9940298769540081,2019,680.0,736.0894030335496,29,Black Diamond,695,258,437,0,695,1431.0894030335496,118.25,5276,286.25,13284,30.670391793064567,1615,0,13284,2.5178165276724793
30,,,53033,4,2356,892,841,0,2356,2356,841,2.801426872770511,2.801426872770511,4283,0.0,0,4283,2.627469650677879,1640,799.0,799.0,2.75,3.0,1691.0,2.932069604735992,4309.0,227801.0,226441.0,0.9940298769540081,2019,450.0,416.0367740938673,232,CarnationCarnation UGA,1069,101,968,0,1069,1485.0367740938673,33.291666666666664,1840,80.29166666666667,4765,17.33486558724447,1589,0,4765,2.589673913043478
31,,,53033,4,3086,1086,1020,0,3086,3086,1020,3.0254901960784313,3.0254901960784313,2998,0.0,0,2998,2.837619552338301,1063,10.0,10.0,2.75,3.0,1096.0,2.932069604735992,3016.0,227801.0,226441.0,0.9940298769540081,2019,10.0,10.0,31,Clyde Hill,1043,15,1028,0,1043,1053.0,1.7916666666666667,1074,-3.6666666666666665,2976,0.4166666666666667,1056,0,2976,2.7709497206703912
32,,,53033,4,20777,7149,7005,34,20743,20743,7005,2.9611705924339757,2.9611705924339757,30591,0.0003991453593482191,40,30551,2.777293934646091,11066,4310.0,4259.0,2.75,3.0,11408.0,2.932069604735992,30734.0,227801.0,226441.0,0.9940298769540081,2019,4496.0,4948.074198900085,235,CovingtonCovington PAA,6063,814,5249,0,6063,11011.074198900085,169.20833333333334,12081,408.9166666666667,33044,206.16975828750356,12248,41,33085,2.7385977981955136
33,,,53033,4,8229,2831,2750,0,8229,8229,2750,2.9923636363636366,2.9923636363636366,9820,0.0,0,9820,2.806550017335264,3520,890.0,798.0,2.75,3.0,3629.0,2.932069604735992,9879.0,227801.0,226441.0,0.9940298769540081,2019,990.0,989.3959853923986,237,DuvallDuvall UGA,1597,146,1451,0,1597,2586.395985392399,32.083333333333336,3712,66.29166666666667,10218,41.22483272468329,2834,0,10218,2.7526939655172415
34,,,53033,4,13340,5672,5368,90,13250,13250,5368,2.4683308494783907,2.4683308494783907,14816,0.0010565612453335212,106,14710,2.315057536526923,6392,1057.0,918.0,2.75,3.0,6590.0,2.932069604735992,14798.0,227801.0,226441.0,0.9940298769540081,2019,989.0,887.048265462842,239,EnumclawEnumclaw UGA,6134,951,5183,0,6134,7021.048265462842,42.666666666666664,6648,61.5,15185,36.960344394285094,7243,108,15293,2.3003910950661854
35,,,53033,4,457,185,173,0,457,457,173,2.6416184971098264,2.6416184971098264,443,0.0,0,443,2.4775847255870733,180,1.0,1.0,2.75,3.0,186.0,2.932069604735992,446.0,227801.0,226441.0,0.9940298769540081,2019,0.0,0.0,35,Hunts Point,110,0,110,0,110,110.0,0.2916666666666667,182,-0.5833333333333334,440,0.0,110,0,440,2.4175824175824174
36,,,53033,4,28013,9435,9218,0,28013,28013,9218,3.038945541332176,3.038945541332176,30171,0.0,0,30171,2.8502393753425133,10649,1720.0,1543.0,2.75,3.0,10978.0,2.932069604735992,30352.0,227801.0,226441.0,0.9940298769540081,2019,1570.0,1197.4290460490197,36,Maple Valley,5818,886,4932,0,5818,7015.429046049019,59.625,11007,89.91666666666667,30710,49.892876918709135,7315,0,30710,2.7900427000999364
37,,,53033,4,2915,1131,1015,0,2915,2915,1015,2.87192118226601,2.87192118226601,2988,0.0,0,2988,2.693586550085551,1116,19.0,19.0,2.75,3.0,1150.0,2.932069604735992,3006.0,227801.0,226441.0,0.9940298769540081,2019,0.0,15.0,37,Medina,617,37,580,0,617,632.0,4.208333333333333,1141,3.0416666666666665,3006,0.625,636,0,3006,2.6345311130587206
38,,,53033,4,1640,687,661,123,1517,1517,661,2.2950075642965206,2.2950075642965206,1675,0.0014439670352891455,145,1530,2.152496922863367,715,50.0,50.0,2.75,3.0,737.0,2.932069604735992,1539.0,227801.0,226441.0,0.9940298769540081,2019,900.0,884.0,38,Milton,111,0,111,0,111,995.0,2.25,728,1.4583333333333333,1684,36.833333333333336,1216,148,1832,2.5164835164835164
39,,,53033,4,6779,2809,2673,99,6680,6680,2673,2.4990647212869437,2.4990647212869437,6810,0.0011622173698668734,116,6694,2.3438829598173534,2873,153.0,153.0,2.75,3.0,2962.0,2.932069604735992,6734.0,227801.0,226441.0,0.9940298769540081,2019,35.0,44.714740591736174,39,Normandy Park,1143,132,1011,0,1143,1187.7147405917362,8.333333333333334,2923,1.2916666666666667,6818,1.8631141913223435,1199,119,6937,2.373246664385905
