Category,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Employment - Federal Civilian,Seattle Region,46376,48818.001,49588.999,49396,49211.998,49318.001,48767,49753,51589.999,53761.999,53087,52485.999,51488,51154.001,52771.999,53777.001,53829,53690.999,54546.001,55369,54074.001,53733,54494,55191.823,56737.688,56615.023,57450.819,57338.78,57208.137,57170.847,57091.263,57220.626,57158.798,57052.017,57039.199,57142.522,57159.799,57183.132,57253.999,57338.112,57395.861,57441.458,57561.19,57622.322,57690.313,57738.962,57778.473,57811.036,57828,57845.435,57812.946,57797.442,57830.551,57776.133,57776.495,57751.176,57723.709,57693.399,57659.438,57619.702
Employment - Federal Military,Seattle Region,51911,53785,54308.001,53735.001,56341,55804.999,56729.999,60941.999,62119,62762.998,61844.003,63835.001,62510.001,58552.999,57806.999,58035.999,55707.999,49503,47267,47940,49091.001,49447,45999,46852.189,49843.16,51668.442,51702.337,51303.257,50951,50687.03,50422.373,50296.544,50180.038,50051.16,49935.142,49880.011,49753.253,49618.539,49498.799,49368.646,49206.01,49020.308,48865.683,48672.107,48483.399,48283.248,48077.781,47867.691,47646.761,47425.931,47175.906,46939.166,46733.649,46476.019,46253.501,46016.866,45780.824,45544.97,45308.428,45069.738
Employment - Farm,Seattle Region,7668,7476,7260,6756,6709,6450,6895,7106,6967,7020,6936,7051,6929,6882,6835,7102,7465,7600,7184,7968,8377,9168,10366,10570.637,10803.986,10863.54,10833.054,10811.585,10761.649,10709.116,10666.187,10605.776,10560.734,10544.134,10523.17,10492.729,10467.344,10443.769,10416.302,10383.877,10351.771,10318.548,10278.692,10238.571,10196.066,10152.891,10108.112,10060.879,10010.789,9958.281,9907.562,9855.819,9801.124,9750.183,9695.486,9641.603,9587.5,9533.131,9478.367,9422.862
Births,Seattle Region,43977.001,43382.01,43514.991,44737,44571.981,46373.98,48753,48897.981,49515.018,48391.009,47266.01,47857.01,48337.011,49085.009,49530.009,51003.971,50095.959,48959.981,48617.029,48731,46460.03,46915.001,46381.01,47208.175,47653.52,47788.802,47654.458,47378.69,47092.467,46859.968,46681.849,46550.586,46502.146,46521.3,46595.266,46750.069,46974.299,47249.811,47573.745,47942.81,48335.309,48737.969,49148.514,49585.315,50033.256,50507.313,51004.789,51534.317,52083.75,52677.217,53310.565,53982.713,54696.648,55453.708,56253.67,57093.916,57941.626,58798.622,59643.747,60468.569
Deaths,Seattle Region,22649.568,22780.367,22855.024,23032.806,23141.961,22611.56,23365.838,23841.485,23453.714,23993.113,24665.51,24314.496,25225.05,25461.783,26501.682,26928.245,27774.687,27796.618,28877.59,31903.08,31241.241,33847.032,32278.82,32808.93,33292.946,33802.312,34313.219,34872.461,35467.827,36062.24,36694.808,37333.325,37979.183,38589.07,39237.714,39854.836,40457.452,41028.662,41567.374,42065.088,42549.878,42965.062,43371.475,43728.307,44054.251,44351.331,44580.91,44848.617,45044.247,45238.357,45413.15,45564.062,45740.043,45926.369,46104.706,46291.795,46508.208,46733.514,46988.072,47279.962
Total Migrants,Seattle Region,21447.005,8279.1,-4669.128,5877.183,15273.799,39459.154,20846.985,27406.977,33315.893,8364.084,35007.921,31932.999,28739.515,40557.216,47771.037,57744.88,49838.102,30503.65,23124.3,24247.993,-26397.193,6608.026,-1490.937,47535.353,31909.485,16381.127,11318.734,13382.709,19581.933,24356.676,27095.545,29361.321,31893.455,31080.231,30784.277,29994.638,28820.215,27109.428,26451.28,26831.731,27761.441,28271.479,29445.231,30830.579,32783.95,34648.399,36731.427,38773.84,40891.473,43408.514,45559.684,47348.727,49479.357,51057.674,52518.526,53568.203,54134.046,54152.968,53806.858,53134.991
Population,Seattle Region,3327439.999,3356430.998,3372778.845,3400926.997,3438070.838,3502134.998,3548571.992,3601953.992,3663596.932,3701268.901,3759847,3816175.027,3869087.8,3934247.942,4006086.043,4089172.95,4162549.923,4215351.691,4259363.007,4303626.994,4293067.979,4310054.973,4322494.777,4384429.601,4430699.667,4461067.29,4485727.265,4511616.205,4542822.779,4577977.185,4615059.772,4653638.354,4694054.772,4733067.233,4771209.062,4808098.933,4843435.995,4876766.571,4909224.222,4941933.675,4975480.548,5009524.934,5044747.204,5081434.791,5120197.746,5161002.128,5204157.434,5249616.972,5297547.948,5348395.321,5401852.42,5457619.798,5516055.76,5576640.773,5639308.263,5703678.587,5769246.051,5835464.128,5901926.661,5968250.259
"Employment - Forestry, fishing, and hunting",United States,801500,842699.982,785300.018,811499.985,829399.979,825500,846599.976,861199.966,832399.979,852400.009,856600.006,885399.994,909099.976,941000.015,917900.009,935200.012,938300.003,961099.976,949699.982,937100.021,942199.997,960000,950000.031,962248.152,986661.043,999077.354,998539.251,999849.394,998920.303,997551.406,996060.298,994541.467,993285.985,994771.919,996154.608,996620.109,997426.245,998393.314,998590.268,998281.126,997955.193,997519.339,996465.215,995339.864,993977.937,992528.475,990911.81,989040.654,986867.824,984431.328,982142.239,979759.92,977060.354,974687.773,971947.887,969250.93,966512.612,963726.756,960879.648,957935.22
Employment - Mining,United States,808399.994,747999.985,800200.012,779399.994,833600.006,930200.012,1012299.988,1213199.982,1126600.006,1269000,1244000,1551200.043,1607000,1597500.031,1553300.018,1452199.997,1320899.994,1179500,1104399.994,979200.012,982800.003,1019000,1059999.985,1044004.418,1048261.395,1051496.856,1060721.88,1056852.982,1053109.287,1050687.224,1048076.318,1047623.928,1045778.824,1044876.022,1044294.725,1044124.322,1042574.96,1040518.679,1038735.002,1036782.135,1034452.78,1031849.269,1029643.022,1026919.664,1024290.074,1021537.207,1018728.829,1015843.385,1012765.804,1009671.254,1006216.097,1002985.785,1000184.061,996703.877,993695.602,990505.152,987336.557,984176.475,981006.832,977789.775
Employment - Utilities,United States,615799.988,599599.976,583200.012,575400.024,569900.024,570700.012,580599.976,597299.988,589799.988,582200.012,575500,577599.976,578299.988,580599.976,597400.024,622000,590799.988,590700.012,591299.988,591400.024,591400.024,599000,620000,627075.249,642386.755,645057.09,643437.234,642206.987,641547.614,640646.606,639617.35,638127.888,636203.081,634618.847,632976.465,631031.717,629226.568,627502.184,625565.172,623362.643,621110.763,618752.858,616130.964,613424.427,610608.94,607735.921,604771.879,601676.537,598419.186,595046.989,591707.031,588341.738,584893.845,581533.356,578054.984,574592.772,571123.403,567644.086,564146.48,560611.609
